index,positionName,companyShortName,city,companySize,education,financeStage,industryField,salary,workYear,hitags,companyLabelList,job_detail,Python,SQL,Tableau,Excel,SPSS/SAS
23,数据分析师,跟谁学,北京,2000人以上,本科,上市公司,教育,20.0,3-5年,,"[""节日礼物"",""技能培训"",""股票期权"",""精英团队""]","
        岗位职责：
1、 深度了解公司业务，通过业务数据表现发掘用户、运营、人效等问题并提供解决方案，并推动落地执行；
2、 高效拆解业务部门提出的问题、痛点及改善诉求，通过调研、分析、试验等方法满足业务部门需求，提升业务表现；
3、 定期关注、分析、学习竞品业务表现及运营策略，为业务部门提供有效支持；

任职资格：
1、本科以上学历，优先，数理统计类专业， excel、sql等熟练使用；
2、2年相关经验，逻辑思维能力强，业务敏感度高，有良好的沟通表达能力和协调能力；
3、对于项目管理有自己的方法论，有完整的推动项目落地经验，可快速定位业务出现相关问题的本质原因是什么，直击重点；
4、抗压能力强，面对业务方或领导质疑不玻璃心，拥抱变化，不对自己设限。
        ",0,1,0,1,0
24,数据分析,最右,北京,500-2000人,本科,D轮及以上,文娱丨内容,22.5,1-3年,,"[""技能培训"",""连续创业团队"",""年度旅游"",""扁平管理""]","
职责:
1.对最右产品运营数据进行分析、监测、统计，并形成指标体系；
2.制定业务核心指标，并进行分析维度拆解，通过对多维数据的深入分析，发现数据异常并定位原因，提出解决方案；
3.搭建业务转化漏斗，通过对用户行为深入分析，发现用户增长关键因素，联合产品、研发、运营等团队寻找提升用户成长方案，推动落地并评估效果；
4.对主要竞品的产品改进、数据波动保持密切关注，并进行细致对比分析，挖掘可借鉴方向。

要求:
1.统计学、数学、计算机等相关专业本科及以上学历；
2.较强的统计学基础，优秀的数据处理能力，敏锐的数据洞察力，良好的业务理解力；
3.熟练掌握hive/sql精通excel，掌握python//r 尤佳，了解基本的数据分析方法与模型；
4.能独立完成从数据提取到模型构建，部门沟通到输出分析报告，提出并解决具体的业务问题。

加分：
1.有参与深度数据分析并有效指导产品运营的具体案例。
",1,1,0,1,0
25,数据分析实习生,琥珀创想,北京,50-150人,本科,A轮,移动互联网,4.5,应届毕业生,,"[""绩效奖金"",""提供工作餐"",""定期团建"",""交通补助""]","
工作内容： 
1、负责竞品相关数据监控，定期更新数据，形成相关报表；
2、负责对异常数据进行分析并产出相关报告；
3、协助分析师完成分析报告；
4、领导交代的其他事宜。

工作要求：
学历：2021届本科以上； 
专业：计算机、数学、统计学等相关专业； 
加分技能：掌握sql语言、阅读英文文档、熟练使⽤numers(excel),熟 练掌握python； 
能力：沟通理解能力、积极主动有责任感、积极面对挑战；
要求：每周坐班至少4天，能够实习6个月以上
                                   
",1,1,0,1,0
26,数据分析师（教育产品）,跟谁学,北京,2000人以上,本科,上市公司,教育,22.5,3-5年,,"[""节日礼物"",""技能培训"",""股票期权"",""精英团队""]","
        岗位职责：
1、 深度了解公司业务，通过业务数据表现发掘用户、运营、人效等问题并提供解决方案，并推动落地执行；
2、 高效拆解业务部门提出的问题、痛点及改善诉求，通过调研、分析、试验等方法满足业务部门需求，提升业务表现；
3、 定期关注、分析、学习竞品业务表现及运营策略，为业务部门提供有效支持.


任职资格：
1、本科以上学历，优先，数理统计类专业， excel、sql等熟练使用；
2、2年相关经验，逻辑思维能力强，业务敏感度高，有良好的沟通表达能力和协调能力；
3、对于项目管理有自己的方法论，有完整的推动项目落地经验，可快速定位业务出现相关问题的本质原因是什么，直击重点；
4、抗压能力强，面对业务方或领导质疑不玻璃心，拥抱变化，不对自己设限。
        ",0,1,0,1,0
27,数据分析师,ZMT众盟数据,北京,500-2000人,大专,C轮,数据服务,13.5,1-3年,,"[""股票期权"",""专项奖金"",""绩效奖金"",""五险一金""]","
        岗位职责：
 1、负责每日部门日常数据报表与分析指标；
  2、负责每月代理商返点核算及问题排查；
  3、负责月度财务数据汇总及相关指标分析；
  4、负责体系相关的临时数据需求，月度数据分析报告产出；
  5、负责监测和分析策略执行情况和效果，持续提出优化和完善风险管理的建议；
  6、其他数据检测及验证工作。
任职要求：
  1、大专以上学历，具备数据库系统基本理论知识，熟练excel、sql等工具；
  2、2年以上数据分析相关工作经验；
  3、思路清晰，逻辑分析及沟通能力强，工作效率高；
  4、数据工作严谨，有互联网工作经验优先。

",0,1,0,1,0
29,高级数据分析师,探探,北京,150-500人,本科,D轮及以上,社交,35.0,3-5年,,"[""股票期权"",""带薪年假"",""岗位晋升"",""扁平管理""]","
职位职责：
1、整体负责探探下产品业务线的各项数据分析相关工作
2、协助构建新的数据分析团队及公司的数据驱动文化
3、对互联网某几项领域有深入的了解，能从行业趋势和产品形态等角度，给商业预测模型
4、全面分析各项影响产品提升与增长的因素，通过假设及检验指导用户增长和产品决策
5、与产品，运营，研发等配合。推进优化方案落地执行，带来业务的实际提升增长

职位要求：
1、计算机、数学、统计相关专业，本科及以上学历；
2、熟练掌握mysql、hdfs/hive/数据库使用，较强的数据库及sql能力，熟悉中间表的开发。掌握tableau可视化工具优先，熟悉常用的统计模型；
3、热爱数据分析，有严谨的逻辑思维能力及较强数据敏感性；
4、执行力强，有较强的自驱及驱动他人的能力，工作认真、负责，有良好的团队合作精神；党员优先。
",0,1,1,0,0
30,数据分析师,海捷科技,北京,50-150人,不限,不需要融资,数据服务,15.0,不限,,"[""定期体检"",""带薪年假"",""年度旅游"",""节日礼物""]","
        岗位职责：
1、根据业务需求，充分利用现有数据资源，进行数据提取、整理和挖掘；
2、建立合适的分析模型，对业务进行深入分析；
3、形成数据分析报告（ppt或word形式）；
4、熟练使用tableau分析工具。

任职要求：
1、1年以上数据分析相关工作经验；
2、能够独立进行数据分析并行程报告，擅于发现不同的分析场景。
        ",0,0,1,0,0
31,数据分析师,盛业恒泰投资,北京,50-150人,不限,未融资,金融,11.5,不限,,[],"
        一 、岗位职责
1，搜集行业相关信息，为相关需求者提供更准确的数据信息；
 2，丰富市场分析能力，做出每日分析计划，熟练掌握各种分析技术；
 3，对市场、行业、公司运营等提供数据分析计划，为战略决策提供支持；
 4，发表研究成果或分析评论，配合公司的推广及培训等工作。
 5，协助部门经理完善部门管理制度；
 6、结合多种数据源进行深度分析和挖掘年龄：
二、岗位要求、
1’20-45岁，五官端正，性格开朗，善于沟通； 
2、敢于迎接挑战、不怕辛苦、积极完成公司交赋的工作任务； 
3、对金融行业有浓厚的兴趣及意愿，有兴趣在金融行业有所作为。
4、为人诚实，具有责任心、上进心，较强的执行力。 
5、接受大学生在校实习、退伍军人与应届毕业生优先录取
        ",0,0,0,0,0
32,数据分析师,易观,北京,150-500人,本科,B轮,数据服务,37.5,3-5年,"[""早十晚七"",""生日聚会""]","[""专项奖金"",""午餐补助"",""技能培训"",""扁平管理""]","
岗位职责：
1.深入了解互联网业务，建立基于业务场景的数据分析需求，解决各类数据分析问题；
2.基于客户各业务部门的分析监控需求，搭建指标体系，并设计数据采集的埋点方案，实现数据可视化；
3.熟悉用户增长的框架和分析方法，针对拉新、留存、转化优化等进行深入的专题分析；
4. 充分利用各种易观方舟产品/服务， 与客户合作制定出最佳的数据分析策略；
5. 产出行业分析案例和埋点方案模版，并与团队成员共同制作数据分析培训内容，建立数据分析的流程、规范和方法；
6.基于数据分析，与销售、服务、产品、工程团队以及其他主要相关方开展跨职能协作，助力相关产品/服务取得成功。

任职要求
1.本科以上学历，经济学、统计学、计算机等和数据处理高度相关专业，3年及以上互联网公司数据分析工作经验；
2.具备杰出的定量分析能力，在推动业务/产品运营优化方面拥有丰富的经验；
3.具有优秀的商业敏感度和突出的分析能力，能够灵活利用数据，设计分析方案解决复杂的商业问题；
4.擅长与内部及外部合作团队交流沟通，具有优秀的报告讲解及沟通能力，能够独立的分析和解决问题；
5.有数据建模实践经验（2年以上相关工作经验）者优先，熟悉hive，熟练使用sql等数据库查询语言；
6.具有较强结构化思维、逻辑思维能力，对数据敏感，具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断；
7.熟悉易观方舟或其他数据分析产品者优先。
",0,1,0,0,0
33,高级数据分析师,易观,北京,150-500人,本科,B轮,数据服务,37.5,5-10年,"[""早十晚七"",""生日聚会""]","[""专项奖金"",""午餐补助"",""技能培训"",""扁平管理""]","
岗位职责：
1.深入了解互联网业务，建立基于业务场景的数据分析需求，解决各类数据分析问题；
2.基于客户各业务部门的分析监控需求，搭建指标体系，并设计数据采集的埋点方案，实现数据可视化；
3.熟悉用户增长的框架和分析方法，针对拉新、留存、转化优化等进行深入的专题分析；
4. 充分利用各种易观方舟产品/服务， 与客户合作制定出最佳的数据分析策略；
5. 产出行业分析案例和埋点方案模版，并与团队成员共同制作数据分析培训内容，建立数据分析的流程、规范和方法；
6.基于数据分析，与销售、服务、产品、工程团队以及其他主要相关方开展跨职能协作，助力相关产品/服务取得成功。

任职要求
1.本科以上学历，经济学、统计学、计算机等和数据处理高度相关专业，3年及以上互联网公司数据分析工作经验；
2.具备杰出的定量分析能力，在推动业务/产品运营优化方面拥有丰富的经验；
3.具有优秀的商业敏感度和突出的分析能力，能够灵活利用数据，设计分析方案解决复杂的商业问题；
4.擅长与内部及外部合作团队交流沟通，具有优秀的报告讲解及沟通能力，能够独立的分析和解决问题；
5.有数据建模实践经验（2年以上相关工作经验）者优先，熟悉hive，熟练使用sql等数据库查询语言；
6.具有较强结构化思维、逻辑思维能力，对数据敏感，具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断；
7.熟悉易观方舟或其他数据分析产品者优先。
",0,1,0,0,0
